UF;MUNICIPIO;POPULACAO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;BALNEARIO BARRA DO SUL;9330;3370;2104;0;157;36;241;58;0;0;14;459;150;7;0;71;51;2;3;0;5;0;12
SC;BALNEARIO CAMBORIU;120926;78238;44089;0;999;223;4546;3666;0;54;260;13729;7344;304;2;1152;311;8;68;0;58;16;1409
SC;BALNEARIO PICARRAS;19329;10066;5584;0;328;46;694;282;1;1;32;1846;841;37;0;190;71;6;6;0;33;3;65
SC;BALNEARIO GAIVOTA;9259;4517;2582;0;165;24;231;96;0;1;9;893;295;20;0;109;65;3;5;0;1;2;16
SC;BALNEARIO RINCAO;11628;843;530;0;15;5;72;21;0;0;3;125;34;0;0;25;3;0;0;0;0;0;10
SC;BANDEIRANTE;2865;1458;706;0;47;7;129;19;0;0;4;483;36;12;0;12;3;0;0;0;0;0;0
SC;BARRA BONITA;1842;986;467;0;35;3;72;11;0;1;7;341;31;8;0;4;3;0;0;0;0;0;3
SC;BARRA VELHA;24943;13062;7262;0;478;105;886;313;0;5;41;2321;1173;39;0;216;123;26;4;0;5;2;63
SC;BELA VISTA DO TOLDO;6191;2895;1462;0;90;1;232;40;0;0;8;940;70;40;0;10;2;0;0;0;0;0;0
SC;BELMONTE;2692;1493;800;0;64;23;119;21;0;0;11;342;50;7;0;17;38;0;0;0;0;0;1
SC;BENEDITO NOVO;10906;7782;3645;0;304;42;594;194;0;5;42;2117;590;24;0;119;73;0;0;0;4;0;29
SC;BIGUACU;62383;35695;19744;0;1122;162;1985;901;0;12;75;8247;2329;119;0;605;183;0;25;0;72;8;106
SC;BLUMENAU;329082;236617;152955;0;5381;854;13941;8417;2;67;424;37661;8806;776;0;3606;1157;10;74;5;331;27;2123
SC;BOCAINA DO SUL;3393;1498;812;0;59;2;167;18;0;0;3;366;21;15;0;30;2;0;0;0;0;1;2
SC;BOM JARDIM DA SERRA;4566;1732;1000;0;114;1;187;66;0;0;11;299;9;24;0;10;1;1;0;0;2;1;6
SC;BOM JESUS;2721;1561;797;0;64;73;138;30;0;0;2;241;53;7;0;16;133;0;0;0;0;0;7
SC;BOM JESUS DO OESTE;2160;1098;654;0;60;7;78;10;0;0;6;214;45;8;0;8;7;0;0;0;0;0;1
SC;BOM RETIRO;9397;4338;2619;0;187;19;396;80;0;0;16;834;60;33;0;54;27;1;1;0;0;3;8
SC;BOMBINHAS;16311;8389;4554;0;150;9;629;274;0;3;50;1569;839;22;0;158;11;4;10;0;2;2;103
SC;BOTUVERA;4785;4005;1852;0;220;97;330;87;0;1;6;944;264;17;0;27;135;0;0;0;3;1;21
SC;BRACO DO NORTE;30868;22205;12176;0;1154;221;1809;631;1;6;51;3966;1441;65;0;209;265;3;16;0;9;2;180
SC;BRACO DO TROMBUDO;3599;2436;1282;0;125;14;216;66;0;0;6;492;154;4;0;46;16;0;1;0;1;0;13
SC;BRUNOPOLIS;2741;1238;651;0;91;3;149;17;0;0;7;287;20;10;0;2;1;0;0;0;0;0;0
SC;BRUSQUE;116634;89649;50869;0;2459;466;6827;3114;0;92;159;16412;6921;181;0;702;533;2;25;0;45;6;836
SC;CACADOR;74276;42079;26441;0;2033;475;3616;1273;0;10;119;4576;1486;763;0;440;641;3;1;0;6;9;187
SC;CAIBI;6274;3824;1979;0;181;225;294;69;0;0;6;580;125;24;0;45;280;0;0;0;1;0;15
SC;CALMON;3416;1129;622;0;37;2;90;46;0;0;10;267;10;23;0;10;7;0;0;0;0;0;5
SC;CAMBORIU;70068;42770;19342;0;1077;211;2172;839;0;18;52;11837;6265;32;0;495;259;5;9;0;27;1;129
SC;CAMPO ALEGRE;11972;7158;3759;0;424;72;591;136;0;1;14;1678;224;14;0;113;102;0;0;0;1;0;29
SC;CAMPO BELO DO SUL;7419;2955;1844;0;191;10;396;56;0;0;12;366;4;38;0;19;9;2;1;0;2;0;5
SC;CAMPO ERE;9203;5244;2893;0;272;113;532;105;0;2;13;924;121;33;0;34;184;0;2;0;0;1;15
SC;CAMPOS NOVOS;34386;19340;12206;0;1003;294;2099;479;8;3;79;1860;515;103;0;198;392;4;4;0;5;0;88
SC;CANELINHA;11286;6575;2988;0;541;82;447;136;0;3;18;1297;852;8;0;52;113;0;2;0;9;0;27
SC;CANOINHAS;53969;31448;17796;0;1279;239;2958;633;0;9;56;5878;1455;141;0;521;299;10;7;0;5;7;155
SC;CAPAO ALTO;2711;1102;688;0;70;4;150;40;0;0;7;99;5;17;0;7;12;0;1;0;1;0;1
SC;CAPINZAL;21726;14471;8463;0;446;128;1108;228;0;3;30;2697;991;54;0;127;132;0;6;0;0;0;58
SC;CAPIVARI DE BAIXO;23018;15024;7949;0;360;202;673;312;0;4;16;3148;1604;26;0;138;513;6;10;0;3;0;60
SC;CATANDUVAS;10112;5810;3338;0;323;283;549;130;1;1;25;489;112;49;0;70;409;0;2;0;1;0;28
SC;CAXAMBU DO SUL;4208;2332;1167;0;102;11;233;38;0;2;3;658;72;16;0;17;12;0;0;0;0;0;1
SC;CELSO RAMOS;2792;1696;893;0;62;101;171;28;0;0;6;272;37;6;0;13;104;0;0;0;1;0;2
SC;CERRO NEGRO;3472;1375;892;0;58;4;146;12;0;0;7;225;4;20;0;4;3;0;0;0;0;0;0
SC;CHAPADAO DO LAGEADO;2871;1687;890;0;47;10;97;11;0;0;5;545;55;10;0;5;9;0;0;0;2;0;1
SC;CHAPECO;198188;139437;78612;0;4373;2306;10925;3911;3;111;299;22019;10174;387;0;2368;2743;31;41;0;25;31;1078
SC;COCAL DO SUL;15860;11255;6655;0;303;114;774;273;0;0;18;2216;503;29;0;170;104;1;3;0;0;0;92
SC;CONCORDIA;71499;55255;28012;0;2434;2108;4234;1232;0;16;130;9135;3617;239;0;634;3062;20;25;0;8;15;334
SC;CORDILHEIRA ALTA;4043;2674;1291;0;300;54;240;43;0;0;20;416;185;8;0;28;72;0;0;1;2;1;13
SC;CORONEL FREITAS;10272;5829;3048;0;250;99;658;106;0;5;12;1133;288;27;0;42;135;0;1;0;2;0;23
SC;CORONEL MARTINS;2520;1236;709;0;46;2;84;17;0;0;7;341;13;15;0;1;1;0;0;0;0;0;0
SC;CORREIA PINTO;14301;7842;4989;0;377;131;757;167;0;1;46;916;139;59;0;98;149;0;2;0;0;0;11
SC;CORUPA;14716;9763;4859;0;391;31;837;222;0;8;6;2401;770;35;0;130;34;2;1;0;3;1;32
SC;CRICIUMA;202395;134364;83195;0;3695;1462;7934;4192;0;45;296;23106;4257;426;0;2181;1850;10;43;3;26;24;1619
SC;CUNHA PORA;10905;7399;4034;0;406;189;524;160;1;2;15;1348;272;52;0;73;295;10;2;0;0;0;16
SC;CUNHATAI;1931;1041;590;0;35;0;67;19;0;0;3;284;31;8;0;3;0;0;0;0;1;0;0
SC;CURITIBANOS;38890;22343;14524;0;967;147;2147;559;3;2;75;2708;608;116;0;185;202;1;7;0;9;6;77
SC;DESCANSO;8612;5661;2922;0;215;152;508;113;0;0;14;1213;212;24;0;56;219;2;0;0;0;0;11
SC;DIONISIO CERQUEIRA;15227;6304;3790;0;150;202;551;110;1;1;21;1010;144;22;0;38;230;2;1;0;1;0;30
