UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AL;FELIZ DESERTO;467;149;0;7;0;30;3;0;0;5;222;28;8;0;9;5;0;0;0;0;0;1
AL;FLEXEIRAS;986;472;0;23;0;46;15;0;0;20;335;11;35;0;15;9;0;0;0;0;1;4
AL;GIRAU DO PONCIANO;5957;1514;0;171;6;349;61;0;0;54;3190;509;53;0;31;12;0;0;0;0;1;6
AL;IBATEGUARA;1400;460;0;41;0;124;22;0;0;56;597;68;16;0;14;2;0;0;0;0;0;0
AL;IGACI;3674;1034;0;102;1;306;43;0;0;101;1778;253;27;0;20;9;0;0;0;0;0;0
AL;IGREJA NOVA;3456;698;0;78;1;102;10;0;0;23;2188;206;80;0;37;33;0;0;0;0;0;0
AL;INHAPI;2879;552;0;56;8;239;15;0;0;22;1777;173;9;0;13;11;0;0;0;0;0;4
AL;JACARE DOS HOMENS;647;192;0;34;0;40;4;0;0;6;338;20;8;0;2;2;0;0;0;0;0;1
AL;JACUIPE;382;121;0;9;0;21;27;0;0;10;170;2;17;0;4;0;0;0;0;0;1;0
AL;JAPARATINGA;858;399;0;11;0;48;36;0;0;24;297;10;9;0;15;5;0;0;0;0;0;4
AL;JARAMATAIA;583;200;0;26;3;51;6;0;0;9;241;24;4;0;5;13;0;0;0;0;0;1
AL;JEQUIA DA PRAIA;927;323;0;30;4;66;7;0;0;10;391;17;38;0;33;5;0;0;0;0;0;3
AL;JOAQUIM GOMES;1723;671;0;94;2;123;27;0;0;24;643;24;69;0;29;13;0;0;0;0;1;3
AL;JUNDIA;399;154;0;15;0;31;20;0;0;5;157;4;11;0;2;0;0;0;0;0;0;0
AL;JUNQUEIRO;3977;1050;0;204;39;294;33;1;0;29;1584;446;106;0;142;42;3;0;0;0;0;4
AL;LAGOA DA CANOA;3321;784;0;90;3;208;21;0;0;19;1797;338;25;0;21;13;0;0;0;0;0;2
