UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PB;SAO SEBASTIAO DO UMBUZEIRO;309;69;0;12;0;32;2;0;0;2;178;9;5;0;0;0;0;0;0;0;0;0
PB;SAO VICENTE DO SERIDO;1108;461;0;31;1;63;27;0;0;10;487;12;10;0;5;0;0;0;0;0;0;1
PB;SAPE;12466;3918;0;360;15;554;122;2;0;30;6047;1222;102;0;49;22;0;0;0;2;1;20
PB;SERRA BRANCA;2226;855;0;98;0;199;46;0;0;21;912;81;10;0;1;0;0;0;0;0;1;2
PB;SERRA DA RAIZ;359;141;0;13;0;14;0;0;0;1;167;17;5;0;0;0;0;0;0;0;0;1
PB;SERRA GRANDE;432;106;0;6;0;31;1;0;0;1;267;14;4;0;2;0;0;0;0;0;0;0
PB;SERRA REDONDA;1356;383;0;21;2;58;31;0;0;10;815;30;4;0;0;1;0;0;0;0;0;1
PB;SERRARIA;720;303;0;15;2;32;11;0;0;9;328;11;7;0;1;0;0;0;0;0;1;0
PB;SERTAOZINHO;940;316;0;10;0;38;8;0;0;3;497;56;11;0;0;0;0;0;0;0;0;1
PB;SOBRADO;2078;585;0;65;2;178;14;0;0;4;1090;127;5;0;2;6;0;0;0;0;0;0
PB;SOLANEA;6278;2434;0;225;2;472;129;0;0;34;2416;482;41;0;25;2;0;0;0;0;7;9
PB;SOLEDADE;3424;1133;0;178;20;203;41;0;0;26;1561;197;20;0;16;23;0;0;0;0;1;5
PB;SOSSEGO;346;158;0;30;0;33;7;0;0;3;100;4;7;0;4;0;0;0;0;0;0;0
PB;SOUSA;25992;6870;0;836;68;1463;225;0;1;49;12522;3537;61;0;120;120;0;0;0;0;16;104
PB;SUME;3249;1201;0;105;9;249;42;0;0;31;1413;153;20;0;7;8;0;0;0;0;1;10
PB;TAPEROA;1886;566;0;89;5;118;22;0;0;16;935;95;7;0;14;12;0;0;0;0;0;7
PB;TAVARES;1021;193;0;26;2;68;11;0;0;13;668;22;12;0;1;2;0;0;0;0;0;3
PB;TEIXEIRA;5196;1433;0;98;2;359;46;0;0;17;2944;259;22;0;8;2;0;0;0;0;2;4
PB;TENORIO;294;116;0;17;2;39;19;0;0;0;94;2;4;0;0;1;0;0;0;0;0;0
PB;TRIUNFO;1976;342;0;20;0;100;20;0;0;3;1363;119;5;0;3;0;0;0;0;0;0;1
PB;UIRAUNA;5168;960;0;80;10;323;21;0;0;16;3218;493;7;0;16;15;0;0;0;0;1;8
PB;UMBUZEIRO;976;324;0;60;0;134;61;0;0;24;328;19;23;0;2;0;0;0;0;0;0;1
PB;VARZEA;549;131;0;22;0;37;4;0;0;4;305;40;4;0;2;0;0;0;0;0;0;0
PB;VIEIROPOLIS;948;206;0;11;0;65;4;0;0;5;604;43;10;0;0;0;0;0;0;0;0;0
PB;VISTA SERRANA;842;112;0;24;0;90;6;0;0;0;456;148;6;0;0;0;0;0;0;0;0;0
PB;ZABELE;252;56;0;14;1;18;3;0;0;6;133;12;7;0;1;1;0;0;0;0;0;0
PE;ABREU E LIMA;24559;12518;0;573;103;985;1182;0;7;81;8154;250;405;0;168;104;0;0;0;0;2;27
PE;AFOGADOS DA INGAZEIRA;15728;4717;0;481;31;1342;189;0;1;72;7642;791;71;0;287;46;1;0;0;0;3;54
PE;AFRANIO;4955;610;0;215;9;381;41;0;0;14;3432;191;23;0;16;20;0;0;0;0;0;3
PE;AGRESTINA;5514;2190;0;185;14;328;90;0;2;41;2114;401;26;0;90;21;0;0;0;0;0;12
PE;AGUA PRETA;4079;1387;0;160;2;154;61;0;4;57;1862;214;64;0;99;4;0;0;0;0;1;10
PE;AGUAS BELAS;7336;1535;0;333;27;493;68;0;0;77;4102;545;43;0;28;70;0;0;0;0;1;14
PE;ALAGOINHA;2371;997;0;142;1;158;48;0;0;44;916;31;19;0;10;5;0;0;0;0;0;0
PE;ALIANCA;5891;2552;0;173;15;266;129;0;1;22;2249;254;129;0;78;17;0;0;0;0;1;5
PE;ALTINHO;3631;1174;0;93;2;197;85;0;0;67;1590;329;33;0;46;8;0;0;0;0;2;5
PE;AMARAJI;2800;1014;0;102;2;195;44;0;0;26;1260;87;44;0;18;4;0;0;0;0;0;4
PE;ANGELIM;1598;661;0;50;8;148;15;0;0;24;613;47;7;0;8;15;0;0;0;0;0;2
PE;ARACOIABA;2544;998;0;70;1;96;146;0;0;8;1061;60;92;0;10;0;0;0;0;0;1;1
PE;ARARIPINA;30691;6655;0;1149;125;2107;284;0;3;59;17356;2481;69;0;147;141;1;2;0;0;55;57
PE;ARCOVERDE;23292;11297;0;1180;118;1915;417;1;20;191;6431;1030;123;0;266;185;0;0;0;0;10;108
PE;BARRA DE GUABIRABA;1669;751;0;75;0;117;17;0;0;21;618;33;12;0;16;7;0;0;0;0;1;1
PE;BARREIROS;7205;3020;0;273;10;297;135;0;2;38;2837;286;70;0;192;18;1;0;0;0;7;19
PE;BELEM DE MARIA;1706;685;0;81;4;98;45;0;0;48;625;67;19;0;29;2;0;0;0;0;0;3
PE;BELEM DE SAO FRANCISCO;3699;978;0;112;1;269;33;0;0;30;1981;204;21;0;56;3;0;1;0;0;2;8
